Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /v1/features/by-id,1342,0,51,63.09126560441064,42.40058199502528,487.3808359989198,45.0,15.068687759157395,0.0,51,55,58,60,66,140,270,330,450,490,490
,Aggregated,1342,0,51,63.09126560441064,42.40058199502528,487.3808359989198,45.0,15.068687759157395,0.0,51,55,58,60,66,140,270,330,450,490,490
